"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,2598230000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,2477930682.9766,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,2301340456.5323,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,2189815071.4035,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2019","2019","EUR","Euro","0","Units",,,2107240622.9039,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,702293129367.29,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,717237681135.34,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,685393018987.87,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,654157875383.07,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR_CONST","Constant Euro","2019","2019","EUR","Euro","0","Units",,,645318043480.57,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,12609456322,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,11872426095.821,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,11121155900.923,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,11087079014.946,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2019","2019","EUR","Euro","0","Units",,,11004831311.978,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,18531000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,18957000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,20811000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,22685000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,24708000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,18531000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,18957000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,20811000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,22685000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,24708000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,18531000000,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,18736471727.765,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,20355644238.387,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,21858107782.585,,
"DEU","Germany","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2019","2019","EUR","Euro","0","Units",,,23308774279.973,,
"IND","India","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","INR","Indian Rupee","0","Units",,,532940000000,,
"IND","India","I-INV-MTN-RD","Total road spending","NAT","National currency","2015","2015","INR","Indian Rupee","0","Units",,,1507180000000,,
"IND","India","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,7488777127.2675,,
"IND","India","I-INV-MTN-RD","Total road spending","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,21178622566.659,,
"IND","India","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,7488777127.2675,,
"IND","India","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,21178622566.659,,
"JPN","Japan","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2015","2015","JPY","Yen","0","Units",,,4971408000000,,
"JPN","Japan","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2016","2016","JPY","Yen","0","Units",,,5022969000000,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","JPY","Yen","0","Units",,,1938608000000,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","JPY","Yen","0","Units",,,2036197000000,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","JPY","Yen","0","Units",,,2177532000000,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","JPY","Yen","0","Units",,,2147418000000,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","NAT","National currency","2015","2015","JPY","Yen","0","Units",,,5717616000000,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","NAT","National currency","2016","2016","JPY","Yen","0","Units",,,5955366000000,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","NAT","National currency","2017","2017","JPY","Yen","0","Units",,,6170253000000,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","NAT","National currency","2018","2018","JPY","Yen","0","Units",,,6060565000000,,
"JPN","Japan","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,37023584448.565,,
"JPN","Japan","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,41750688055.253,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,14437402241.108,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,16924776116.684,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,17221813043.757,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,16478060928.014,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,42580821936.253,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,49500729174.49,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,48799716191.855,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,46505319098.651,,
"JPN","Japan","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,37023584448.565,,
"JPN","Japan","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,37306102268.752,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,14437402241.108,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,15123042471.759,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,16208475472.078,,
"JPN","Japan","I-MTN-RD","Road infrastructure maintenance","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,15999353417.423,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,42580821936.253,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,44231109736.861,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,45928323628.316,,
"JPN","Japan","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,45154283583.478,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2015","2015","MXN","Mexican Peso","0","Units",,,95752400000,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2016","2016","MXN","Mexican Peso","0","Units",,,97815800000,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2017","2017","MXN","Mexican Peso","0","Units",,,81375200000,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2018","2018","MXN","Mexican Peso","0","Units",,,85410300000,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2019","2019","MXN","Mexican Peso","0","Units",,,66370100000,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","MXN","Mexican Peso","0","Units",,,19180200000,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","MXN","Mexican Peso","0","Units",,,22578100000,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","MXN","Mexican Peso","0","Units",,,15703600000,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","MXN","Mexican Peso","0","Units",,,18200300000,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","MXN","Mexican Peso","0","Units",,,27586000000,,
"MEX","Mexico","I-INV-MTN-RD","Total road spending","NAT","National currency","2015","2015","MXN","Mexican Peso","0","Units",,,94712200000,,
"MEX","Mexico","I-INV-MTN-RD","Total road spending","NAT","National currency","2016","2016","MXN","Mexican Peso","0","Units",,,92409100000,,
"MEX","Mexico","I-INV-MTN-RD","Total road spending","NAT","National currency","2017","2017","MXN","Mexican Peso","0","Units",,,61817800000,,
"MEX","Mexico","I-INV-MTN-RD","Total road spending","NAT","National currency","2018","2018","MXN","Mexican Peso","0","Units",,,70546900000,,
"MEX","Mexico","I-INV-MTN-RD","Total road spending","NAT","National currency","2019","2019","MXN","Mexican Peso","0","Units",,,76688400000,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,5446409836.5328,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,4739217272.6935,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,3814147534.8481,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,3760598357.9263,,
"MEX","Mexico","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,3077904440.4165,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,1090972445.0423,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,1093918584.7747,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,736045468.74528,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,801355554.23368,,
"MEX","Mexico","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,1279297031.2434,,
"MEX","Mexico","I-INV-MTN-RD","Total road spending","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,5387243115.7825,,
